heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
Radeon RX 6600 - 8 GB,2700,Radeon RX 6600 8 GB,AMD,rx 6600,8,rx 6600,https://www.finn.no/recommerce/forsale/item/374523080
Nvidia Geforce RTX 3060 TI,3200,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,,rtx 3060 ti,https://www.finn.no/recommerce/forsale/item/374506297
RTX 3080 HP 10GB,4650,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,10,rtx 3080,https://www.finn.no/recommerce/forsale/item/375377822
PNY NVIDIA RTX  A2000 6GB,2800,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374702676
CPU hovedkort osv selges,1500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/376052489
Sett for Mining Rig,1400,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=342919998
ASUS DUAL GeForce RTX 4060 TI OC,5700,GeForce RTX 4060 Ti 8 GB,NVIDIA,rtx 4060 ti,,rtx 4060 ti,https://www.finn.no/recommerce/forsale/item/375986952
Gtx880m 4gb og kjøleplate for asus g750 serien,1000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=237636385
GeForce RTX 3060 Ghost,2750,GeForce RTX 3060 12 GB,NVIDIA,rtx 3060,,rtx 3060,https://www.finn.no/recommerce/forsale/item/373613731
Stasjonær pc htpc med 240gb ssd + 2tb harddisk,7990,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=215163346
"Gaming pakke. Super startpakke for ungdom. PC, tastatur, mus",5500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375985964
Mac Pro 4.1 / 5.1,3999,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/344220591
Lenovo hovedkort:  i5-6400/ 8GB DDR4/ Gtx 960,1600,Unknown,NVIDIA,6400,8,,https://www.finn.no/recommerce/forsale/item/375955893
Hp Z600 workstation,2000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/325177640
Gaming PC,1500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375191982
Ny Pris ! Grei pc med i5-7400 cpu og oppgrader minne fra 4 til 16 Gb,2000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/356836034
