heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,match_count,seller,canonical_url
ASUS ROG Strix GeForce GTX 1080Ti OC 11GB,2250,GeForce GTX 1080 Ti 11 GB,NVIDIA,gtx 1080 ti,11,gtx 1080 ti,1,,https://www.finn.no/recommerce/forsale/item/375531879
Gigabyte Radeon RX 5700 XT Gaming OC 8GB,1500,Radeon RX 5700 XT 8 GB,AMD,rx 5700 xt,8,rx 5700 xt,1,,https://www.finn.no/recommerce/forsale/item/376193084
Gigabyte RTX 3080 10Gb Eagle OC,5000,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,10,rtx 3080,1,,https://www.finn.no/recommerce/forsale/item/374149791
Sett for Mining Rig,1500,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/347943865
GTX 1080 fra Asus Rog Strix - Perfekt for gamingriggen,2499,GeForce GTX 1080 8 GB,NVIDIA,gtx 1080,,gtx 1080,1,,https://www.finn.no/recommerce/forsale/item/375206544
RTX 2070 selges til rimelig pris,1950,GeForce RTX 2070 8 GB,NVIDIA,rtx 2070,,rtx 2070,1,,https://www.finn.no/recommerce/forsale/item/376352146
Asus GeForce RTX 3070 dual 8 gb 2stk,3000,GeForce RTX 3070 8 GB,NVIDIA,rtx 3070,8,rtx 3070,1,,https://www.finn.no/recommerce/forsale/item/334937343
Geforce RTX 2070 Super,2500,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,1,,https://www.finn.no/recommerce/forsale/item/374788058
selger datamaskin for deler,1499,Unknown,,,,,0,,https://www.finn.no/recommerce/forsale/item/375144232
Asus GeForce RTX 3080 Ti TUF Gaming OC,6999,GeForce RTX 3080 Ti 12 GB,NVIDIA,rtx 3080 ti,,rtx 3080 ti,1,,https://www.finn.no/recommerce/forsale/item/375495688
AMD XFX Radeon RX 6800 QICK 319 Black,4200,Radeon RX 6800 16 GB,AMD,rx 6800,,rx 6800,1,,https://www.finn.no/recommerce/forsale/item/376814876
Sett for Mining Rig,1300,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=344344145
Asus RTX 3060 TI duo OC,3200,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,,rtx 3060 ti,1,,https://www.finn.no/recommerce/forsale/item/375453263
ASUS RTX 4060 TI DUAL OC 8GB,4500,GeForce RTX 4060 Ti 8 GB,NVIDIA,rtx 4060 ti,8,rtx 4060 ti,1,,https://www.finn.no/recommerce/forsale/item/375419768
Sett for Mining Rig,1500,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=344344567
Asus strix gtx1070 8g gaming,1500,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373098923
Sapphire Radeon RX 5700,2300,Radeon RX 5700 8 GB,AMD,rx 5700,,rx 5700,1,,https://www.finn.no/recommerce/forsale/item/376782459
RTX 2080 ti,3250,GeForce RTX 2080 Ti 11 GB,NVIDIA,rtx 2080 ti,,rtx 2080 ti,1,,https://www.finn.no/recommerce/forsale/item/374352532
Gainward GeForce RTX 2060 SUPER Ghost 8gb,2400,GeForce RTX 2060 SUPER 8 GB,NVIDIA,rtx 2060 super,8,rtx 2060 super,1,,https://www.finn.no/recommerce/forsale/item/374632603
